Plate ID,"R007_PEI Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:29:38 AM"
Scan Description,""
Scan Result ID,"22/03/19 3:20:34 AM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:29:38 AM - 22/03/19 2:46:58 AM"
Analysis Start Time,"22/03/19 3:20:34 AM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
H,,33.2369551809424,18.9959146347937,16.952930965512,14.844018958519,13.8492462725023,14.9176970097319,19.0171800451466,17.0870137120941,15.7276449091924,1.10050966821628,

AVG Target 1 Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,24629.1,2997,2042.46666666667,2705.65454545455,72110.1578947368,1747.09090909091,5344.25417075564,3660.51211631664,3510.74806001035,437,
B,,26211.0384615385,2384.89189189189,2864.32075471698,6575.59296482412,13875.1818181818,7698.98305084746,5350.04012211077,3818.30490261921,3845.08383371824,348.666666666667,
C,,12478.8888888889,30140.9166666667,1681.82857142857,1915.67796610169,2963.63157894737,3591.81012658228,7049.38387096774,5234.11428571429,4503.25454545455,40070.3333333333,
D,,2180.26666666667,800,9618.06976744186,8677.49019607843,6617.38043478261,5424.46557377049,5057.10879930646,3976.92384232683,3205.48443337484,1427.83333333333,
E,,2839.81355455568,2538.32719687093,2361.84875476121,2217.24881186971,2204.57843654394,2238.02953117448,2198.14119459182,2134.16207578755,2052.92445497055,1290.18571229892,
F,,3216.55144293742,2470.85680890853,2316.57028141503,2272.35281028882,2204.39084709555,2889.05696313123,2230.19538576036,2221.94160546974,1974.22725373883,1225.60566602147,
G,,2814.44189522457,2299.55904045295,2210.40310236436,2189.10864917396,2088.29034163631,2175.87386985155,2206.83769573666,2053.53551858125,1966.81742738589,1245.85802469136,
H,,4182.25590369773,3164.50340042276,3019.80997274474,2680.59324558032,2175.91245791246,2118.03954056373,2730.98101108206,2539.91891115833,2466.79007588333,1430.37948330356,

SD of Target 1 Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,18361.5895197012,4667.84891572124,5299.08667853873,7304.27863955761,200115.058115986,4611.24655705129,6377.86612414505,4604.03826208923,4744.58329363776,189,
B,,79313.3886231268,6351.79962914867,7552.53088099858,9791.30510701428,53691.6908976074,7953.78923925097,7210.06763634541,5381.33038560064,5526.29879473798,41.8276888622303,
