Plate ID,"FreestyleMax FectoCHO Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:51:59 AM"
Scan Description,""
Scan Result ID,"01/04/19 10:34:36 PM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:51:59 AM - 22/03/19 3:17:46 AM"
Analysis Start Time,"01/04/19 10:34:36 PM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
B,,1541.48103680506,1554.011702602,1560.08547791986,1623.72232311692,1540.34836876814,1578.55273432546,1559.57164198334,1582.25018658755,1538.2513941967,1554.58510890949,
C,,1499.84690722032,1357.59455859617,1355.03842802428,1165.35423291574,1072.75131592437,1027.3376426898,1069.43433404295,1029.90491653551,1074.22616253301,1518.77325642516,
D,,1441.23930151158,1126.84035028763,1086.52854713167,1059.30873533273,1255.25702200597,1447.02556909027,1284.52207606742,1514.67069337032,1584.75140377736,1247.82491900664,
E,,1165.16639778493,709.957645457345,863.254760535043,992.759708050736,1032.41216899629,916.226144306648,1059.04874812241,974.409093410475,909.121501891579,56.7887312765481,
F,,1359.25889384099,1470.07617821856,1396.20471784948,1071.99924206468,1534.48429591012,1536.79042274599,1010.19266390296,944.359775043061,922.979885858669,8,
G,,1514.98502290599,1538.9337462651,1573.14821072135,876.966348164594,1537.93077372319,1312.81477898076,859.127667121964,819.237891591911,812.571364469536,58.5891414854323,
H,,1566.99301997119,1345.10619389607,1407.39865443964,1574.91045130694,1687.85372132756,1601.12145610412,1489.04069054103,1251.90033098593,1308.94539006814,NaN,

% Well Sampled,1,2,3,4,5,6,7,8,9,10,11,12
A,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
B,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
C,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
D,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
E,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
F,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
G,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,
H,,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,100.00000%,

Analysis Settings Plate Maps,1,2,3,4,5,6,7,8,9,10,11,12
A,,1,1,1,1,1,1,1,1,1,1,,
B,,1,1,1,1,1,1,1,1,1,1,,
C,,1,1,1,1,1,1,1,1,1,1,,
D,,1,1,1,1,1,1,1,1,1,1,,
E,,1,1,1,1,1,1,1,1,1,1,,
F,,1,1,1,1,1,1,1,1,1,1,,
G,,1,1,1,1,1,1,1,1,1,1,,
H,,1,1,1,1,1,1,1,1,1,1,,

Focus Position Map,1,2,3,4,5,6,7,8,9,10,11,12
A,,4.0810718536377,4.06850433349609,4.05699491500854,4.05408430099487,4.0547456741333,4.06255102157593,4.08490800857544,4.09707880020142,4.124596118927,4.15039253234863,,
B,,4.07630920410156,4.0547456741333,4.03225660324097,4.02259874343872,4.02670049667358,4.03066873550415,4.04839563369751,4.06360960006714,4.09562397003174,4.11956882476807,,
C,,4.08305597305298,4.05633354187012,4.03212404251099,4.01545524597168,4.01492595672607,4.02537727355957,4.04323625564575,4.05871438980103,4.09205198287964,4.12221479415894,,
D,,4.09112596511841,4.07075309753418,4.0460147857666,4.02484750747681,4.03053665161133,4.02974271774292,4.04257535934448,4.0616250038147,4.09615278244019,4.12710905075073,,
E,,4.11348342895508,4.08570194244385,4.06122779846191,4.04178094863892,4.0424427986145,4.04455900192261,4.05646562576294,4.07458925247192,4.10805940628052,4.14377784729004,,
F,,4.12856483459473,4.09998941421509,4.08292388916016,4.05778884887695,4.06241846084595,4.06228637695313,4.0810718536377,4.09403657913208,4.12565422058105,4.16375398635864,,
G,,4.14959907531738,4.12631559371948,4.10991144180298,4.08239507675171,4.08808326721191,4.08556985855103,4.09853410720825,4.11546754837036,4.14973115921021,4.17976140975952,,
H,,4.14338111877441,4.12552213668823,4.10911798477173,4.08345365524292,4.09641790390015,4.09615278244019,4.09972524642944,4.1204948425293,4.14787912368774,4.17420530319214,,



Analysis Settings,Name,Version,Instance
,Untitled Analysis Settings 1,1000,1
General Settings,Item,Value
,bUseWellMask,True
,WellMaskUsageMode,0
,PercentWellMaskSize,100
,WellMaskShapeOverride,0
Identification Settings,Target 1 Frame Settings,,Target 2 Frame Settings,,Mask Frame Settings
,Item,Value,Item,Value,Item,Value
,FilterSizeUM,10,FilterSizeUM,10,FilterSizeUM,10
,BackgroundCorrection,False,BackgroundCorrection,False,BackgroundCorrection,True
, , , , ,Algorithm,1
, , , , ,IntensityThreshold,4
, , , , ,Precision,2
, , , , ,BFSharpen,0
, , , , ,DilationRadiusUM,0
, , , , ,SeparateTouchingBlobs,True
Pre-Filtering Settings,Target 1 Feature Settings,,Target 2 Feature Settings,,Mask Feature Settings
,Item,Value,Item,Value,Item,Value
,CellAreaRangeUM,10 to 300,CellAreaRangeUM,10 to 10000,CellAreaRangeUM,20 to 300
,CellIntensityRange,46.0843373493976 to 255,CellIntensityRange,45.316265060241 to 255,CellIntensityRange,6.91265060240964 to 44.5481927710846
,CellSmoothnessMin,0,CellSmoothnessMin,0,CellSmoothnessMin,0
,CellAspectRatioMin,0.15,CellAspectRatioMin,0.15,CellAspectRatioMin,0.15

Classification Settings,Name,Version
,Untitled Classification Settings,1000
Classes,Class Name,Source Population Name
,Total,ALL
,Class 1,unassigned
,Class 2,unassigned
,Class 3,unassigned
,Class 4,unassigned
Gating,-none-


Image Channel Settings,Gain,Exposure,SetupMode,Illumination Source
Fluorescent Default Template (1),100,659307 (ums),Always,Red 531/629
Fluorescent Default Template (2),30,10000 (ums),Always,Green 483/536
Fluorescent Default Template (3),150,80000 (ums),Always,Blue 377/447

